valCH0[147].real, 0x0000,
valCH0[147].imag, 0x0000,
valCH0[148].real, 0x0000,
valCH0[148].imag, 0x0000,
valCH0[149].real, 0x0000,
valCH0[149].imag, 0x0000,
valCH0[150].real, 0x0000,
valCH0[150].imag, 0x0000,
valCH0[151].real, 0x0000,
valCH0[151].imag, 0x0000,
valCH0[152].real, 0x0000,
valCH0[152].imag, 0x0000,
valCH0[153].real, 0x0000,
valCH0[153].imag, 0x0000,
valCH0[154].real, 0x0000,
valCH0[154].imag, 0x0000,
valCH0[155].real, 0x0000,
valCH0[155].imag, 0x0000,
valCH0[156].real, 0x0000,
valCH0[156].imag, 0x0000,
valCH0[157].real, 0x0000,
valCH0[157].imag, 0x0000,
valCH0[158].real, 0x0000,
valCH0[158].imag, 0x0000,
valCH0[159].real, 0x0000,
valCH0[159].imag, 0x0000,
valCH0[160].real, 0x0000,
valCH0[160].imag, 0x0000,
valCH0[161].real, 0x0000,
valCH0[161].imag, 0x0000,
valCH0[162].real, 0x0000,
valCH0[162].imag, 0x0000,
valCH0[163].real, 0x0000,
valCH0[163].imag, 0x0000,
valCH0[164].real, 0x0000,
valCH0[164].imag, 0x0000,
valCH0[165].real, 0x0000,
valCH0[165].imag, 0x0000,
valCH0[166].real, 0x0000,
valCH0[166].imag, 0x0000,
valCH0[167].real, 0x0000,
valCH0[167].imag, 0x0000,
valCH0[168].real, 0x0000,
valCH0[168].imag, 0x0000,
valCH0[169].real, 0x0000,
valCH0[169].imag, 0x0000,
valCH0[170].real, 0x0000,
valCH0[170].imag, 0x0000,
valCH0[171].real, 0x0000,
valCH0[171].imag, 0x0000,
valCH0[172].real, 0x0000,
valCH0[172].imag, 0x0000,
valCH0[173].real, 0x0000,
valCH0[173].imag, 0x0000,
valCH0[174].real, 0x0000,
valCH0[174].imag, 0x0000,
valCH0[175].real, 0x0000,
valCH0[175].imag, 0x0000,
valCH0[176].real, 0x0000,
valCH0[176].imag, 0x0000,
valCH0[177].real, 0x0000,
valCH0[177].imag, 0x0000,
valCH0[178].real, 0x0000,
valCH0[178].imag, 0x0000,
